id,base_scen_id,player_id,indicator_id
10,20,1,11
11,21,1,11
12,22,1,11
13,24,1,11
14,26,1,11
15,20,2,1
16,21,2,1
17,22,2,1
18,23,2,1
19,24,2,1
20,1,3,200
21,2,3,200
22,3,3,200
23,4,3,200
24,5,3,200
25,6,3,200
26,7,3,200
27,8,3,200
28,9,3,200
29,NULL,NULL,NULL
30,NULL,NULL,NULL
31,NULL,NULL,NULL
32,NULL,NULL,NULL
33,NULL,NULL,NULL
34,NULL,NULL,NULL
35,NULL,NULL,NULL
36,NULL,NULL,NULL
37,NULL,NULL,NULL
38,NULL,NULL,NULL
39,NULL,NULL,NULL
40,NULL,NULL,NULL
41,NULL,NULL,NULL
42,NULL,NULL,NULL
43,NULL,NULL,NULL
44,NULL,NULL,NULL
45,NULL,NULL,NULL
46,NULL,NULL,NULL
47,NULL,NULL,NULL
48,NULL,NULL,NULL
49,NULL,NULL,NULL
50,NULL,NULL,NULL
51,NULL,NULL,NULL
52,NULL,NULL,NULL
53,NULL,NULL,NULL
